EventCategory,CatalogueItemName,UnitCost,UnitPrice,CatalogueType,ContactFirstName
Trade Shows,Green Goddess Smoothie,36,41,Beverage,Noah
Anniversaries,Watermelon Wave Quencher,45,50,Beverage,Ava
Weddings,Cucumber Mint Cooler,21,26,Beverage,Sophia
Educational Conferences,Pomegranate Passion Potion,29,34,Beverage,Jackson
Concerts,Vanilla Velvet Shake,40,45,Beverage,Aiden
Festivals,Espresso Elegance,34,39,Beverage,Lucas
Charity Events,Coconut Cream Dream,48,53,Beverage,Mia
Christmas event,Hazelnut Heaven Latte,25,30,Beverage,Ethan
New Year,Almond Joy Infusion,38,43,Beverage,Isabella
Birthday,Iced Caramel Comfort,43,48,Beverage,Caden
Trade Shows,Chai Charm Chiller,37,42,Beverage,Amelia
Anniversaries,Matcha Marvel Mixer,24,29,Beverage,Harper
Weddings,Chocolate Cherry Cheer,32,37,Beverage,Elijah
Educational Conferences,Strawberry Serenade Shake,50,55,Beverage,Abigail
Concerts,Kiwi Kiss Cooler,33,38,Beverage,Benjamin
Festivals,Blackberry Basil Bliss,39,44,Beverage,Emily
Charity Events,Citrus Mint Medley,47,52,Beverage,Oliver
Christmas event,Passionfruit Paradise,50,55,Beverage,Emma
New Year,Herbal Hibiscus Hug,23,28,Beverage,Liam
Birthday,Vanilla Bean Velvet,36,41,Beverage,Olivia
Trade Shows,Blue Lagoon Libation,45,50,Beverage,Noah
Anniversaries,Gingerbread Goodness,22,27,Beverage,Ava
Weddings,Watermelon Mint Wave,27,32,Beverage,Sophia
Educational Conferences,Cran-Apple Quencher,44,49,Beverage,Jackson
Concerts,Rosemary Raspberry Refresher,48,53,Beverage,Aiden
Festivals,Sparkling Lavender Lemonade,32,37,Beverage,Lucas
Charity Events,Peachy Keen Kombucha,41,46,Beverage,Mia
Christmas event,Berry Basil Breeze,30,35,Beverage,Ethan
New Year,Citrus Cinnamon Sensation,28,33,Beverage,Isabella
Birthday,Caramel Apple Delight,49,54,Beverage,Caden
Trade Shows,Pineapple Sage Sipper,46,51,Beverage,Amelia
Anniversaries,Turmeric Tonic Temptation,26,31,Beverage,Harper
Weddings,Orange Blossom Bliss,37,42,Beverage,Elijah
Educational Conferences,Raspberry Rose Radiance,38,43,Beverage,Abigail
Concerts,Mango Mint Magic,35,40,Beverage,Benjamin
Festivals,Cherry Almond Ambrosia,42,47,Beverage,Emily
Charity Events,Blueberry Basil Bliss,31,36,Beverage,Oliver
